Product No,Product Name,Product Remark,Unit price,Category name,Sub category Name,
02-01-00044-0,HOSEN FRUIT COCKTAIL FIESTA,1x836G,5.9,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-01-00046-0,HOSEN PINEAPPLE SLICES,1x565G,4.9,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-01-00047-0,HOSEN PINEAPPLE CUBES,1x565G,4.8,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-01-00049-0,HOSEN LYCHEE,1x565G,7.9,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-01-00050-0,HOSEN LONGAN,1x565G,6.9,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-01-00052-0,HOSEN RAMBUTAN,1x565G,7.9,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-01-00064-0,FERRY LONGAN,1x565G,6.9,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-01-00066-0,MOONLIGHT LONGAN THAI,1x565G,6.5,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-01-00068-0,FRUITLAND LYCHEES,1x565G,4.2,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-02-00004-0,NAR.SPICED PORK CUBES,1x142G,8.8,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-02-00009-0,REX CURRY CHICKEN,1x280G,5.2,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-02-00011-0,YEO'S CURRY CHICKEN (S),1x145G,3.5,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-02-00012-0,YEO'S CURRY CHICKEN (M),1x280G,4.9,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-02-00013-0,YEO'S CURRY CHICKEN (L),1x405G,6.5,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-02-00055-0,REX CURRY CHICKEN,1x160G,3.3,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-02-00057-0,YEO'S CHICKEN  KURMA,1x285G,5.5,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-03-00040-0,BOTAN MACKEREL IN TOMATO SAUCE,1x425G,7.1,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-03-00041-0,BOTAN SARDINE,1x155G,3.3,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-03-00042-0,BOTAN SARDINE,1x230G,4.1,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-03-00043-0,BOTAN SARDINE,1x425G,7.1,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-03-00047-0,RANESA MACKEREL IN TOMATO SAUSE(GREEN),1x425G,4.35,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-03-00049-0,REX CUTTLEFISH,1x170G,6.2,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-03-00050-0,REX CUTTLEFISH,1x425G,12.9,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-05-00023-0,FEI YAN PAI MUSHROOM,1x425G,2.9,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-05-00031-0,NAR.BRAISED PEANUTS,1x170G,3.15,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-05-00032-0,NAR.PICKLED LETTUCE,1x170G,3.25,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-05-00033-0,NAR.WHOLE MUSHROOM,1x400G,3.9,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-05-00034-0,PEACE VEG PICKLE MUSTARD GREEN,1x140G,2.5,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-05-00037-0,TIANJIN PRESERVED VEGETABLE,1x300G,3.2,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-05-00040-0,TST GREEN PEAS,1x230G,2.1,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-05-00041-0,TST GREEN PEAS,1x425G,2.95,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-05-00045-0,YEO'S SWEET CORN CREAM STYLE,1x425G,3.2,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-05-00090-0,HOSEN STRAW MUSHROOM UNPEEL WHOLE,1x425G,3.4,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-05-00091-0,HOSEN GREEN BEAN,1x397G,2.5,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-05-00092-0,HOSEN WHOLE MUSHROOM,1x425G,3.5,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-05-00093-0,HOSEN BAKED BEANS,1x425G,2.7,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-05-00094-0,HOSEN YOUNG CORN SPEAR,1x425G,3.2,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-05-00095-0,HOSEN WHOLE KERNEL CORN,1x400G,2.7,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-05-00096-0,HOSEN CREAM STYLED CORN,1x425G,2.75,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
02-05-00102-0,REX RED KIDNRY BEANS,1x425G,3.15,11759,Kitchen,CANNED FOOD / TUB / BOTTLED / PACKET
,,,,,,
,,,,,,
,,,,,,
03-02-00006-0,ANLENE REGULAR(REFILL),1x1KG,33.3,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00010-0,ANLENE GOLD (REFILL),1x600G,22.9,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00012-0,ANMUM MATERNA (PLAIN),1x650G,37.6,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00016-0,DUGRO 3 (1-3YRS) (REG),1x550G,18.6,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00023-0,DUGRO 4 (3-6YRS) (CHOC),1x900G,18.9,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00024-0,DUGRO 4 (3-6YRS) (REG),1x550G,18.6,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00030-0,DUGRO 5 (6+YRS) (REG),1x850G,23.5,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00040-0,ANMUM LACTA,1x650G,37.55,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00045-0,EVERYDAY FMP MILK POWDER,1x300G,11.2,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00046-0,NESPRAY CERGAS MILK POWDER,1x550G,18.6,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00048-0,NESPRAY CERGAS MILK POWDER,1x300G,10.9,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00063-0,LACTOGEN 1,1x650G,24.9,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00086-0,ANMUM MATERNA (CHOCOLATE),1x650G,37.6,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00106-0,FERNLEAF FULL CREAM REGULAR,1x1.8KG,48.5,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00110-0,FERNLEAF FAMILY,1x900G,22.6,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00113-0,FERNLEAF 1+(PLAIN),1x900G,23.5,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00114-0,FERNLEAF 1+(HONEY),1x900G,23.5,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00116-0,FERNLEAF 3+(PLAIN),1x900G,23.2,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00117-0,FERNLEAF 3+(HONEY),1x900G,23.2,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00118-0,FERNLEAF 3+(CHOC),1x900G,23.2,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00126-0,SIMILAC INTE-P1 BIB,1x150G,8.8,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00127-0,SIMILAC INTE-P3 BIB,1x300G,15.85,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00131-0,DUGRO 3 (1-3YRS)(CHO),1x900G,18.9,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00137-0,ANLENE REGULAR (CHOCOLATE),1x600G,20.7,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00149-0,DUPRO 1 INFANT FORMULA 0-12 BULAN,1x850G,25.6,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00150-0,DUPRO 1 INFANT FORMULA 0-12 BULAN,1x550G,18.7,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00151-0,DUPRO 1 INFANT FORMULA 0-12 BULAN,1x300G,8.55,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00153-0,DUPRO 2 FOLL-UP FORMULA 6-36 BULAN,1x600G,18.7,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00154-0,DUPRO 2 FOLL-UP FORMULA 6-36 BULAN,1x300G,10,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00180-0,ISOMIL PLUS,1x400G,36.4,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00181-0,ISOMIL PLUS,1x850G,75,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00182-0,ISOMIL,1x400G,35.5,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00183-0,ISOMIL,1x850G,71.9,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00201-0,NESPRAY INSTANT MILK POWDER (+50G),1x600G,22.5,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00202-0,DUTCH LADY PWDR GUM 123 (MADU)RM15.90,1x600G,15.9,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00206-0,DUTCH LADY PWDR GUM 456 (MADU) RM15.90,1x600G,15.9,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
03-02-00207-0,DUTCH LADY PWDR GUM 456 (BIASA) RM15.90,1x600G,15.9,11760,Foods/Beverages,MILK FORMULA/DRINK/SOYA POWDER
,,,,,,
